"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","22,109","00:00:57.139","  E   ","18FF20EF","8","FA 70 90 0B 70 EF FF 4B",".p..p..K"
"USB-to-CAN V2 compact  CAN-1","22,110","00:00:57.145","  E   "," 8FE6E0B","8","02 07 02 07 06 07 08 07","........"
"USB-to-CAN V2 compact  CAN-1","22,111","00:00:57.145","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,112","00:00:57.146","  E   ","18F00010","8","FF 70 FF FF FF FF FF 4B",".p.....K"
"USB-to-CAN V2 compact  CAN-1","22,113","00:00:57.147","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 33","..p....3"
"USB-to-CAN V2 compact  CAN-1","22,114","00:00:57.155","  E   ","18FEBF0B","8","FF 06 7D 7D 7D 7D FF FF","..}}}}.."
"USB-to-CAN V2 compact  CAN-1","22,115","00:00:57.155","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,116","00:00:57.157","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 44","..p....D"
"USB-to-CAN V2 compact  CAN-1","22,117","00:00:57.165","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,118","00:00:57.165","  E   "," 8FE6E0B","8","FA 06 FC 06 F8 06 00 07","........"
"USB-to-CAN V2 compact  CAN-1","22,119","00:00:57.167","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 55","..p....U"
"USB-to-CAN V2 compact  CAN-1","22,120","00:00:57.174","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,121","00:00:57.177","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 66","..p....f"
"USB-to-CAN V2 compact  CAN-1","22,122","00:00:57.184","  E   "," CF00300","8","FD 00 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,123","00:00:57.185","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,124","00:00:57.185","  E   "," 8FE6E0B","8","F2 06 F6 06 F2 06 F6 06","........"
"USB-to-CAN V2 compact  CAN-1","22,125","00:00:57.186","  E   ","18FF20EF","8","FA 70 6C 0B 70 EF FF 4B",".pl.p..K"
"USB-to-CAN V2 compact  CAN-1","22,126","00:00:57.187","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 77","..p....w"
"USB-to-CAN V2 compact  CAN-1","22,127","00:00:57.195","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
